排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,全部集弹幕UID数,付费集弹幕UID数,弹幕留存率,收订比,最新更新,剧集ID
28,台风眼 第二季,30070702,164359,D2,50,32,14398,13329,92.58%,8.11%,完结 FT,68664
29,台风眼 第一季,36140443,310770,D2,53,20,22324,13947,62.48%,4.49%,千万福利·富士山在等一片云,52404
30,江医生 第二季,8625784,123808,D2,44,36,13894,12935,93.10%,10.45%,主役版·绝对,85256
31,某某 第一季,98996521,1728406,D2,43,28,76956,45050,58.54%,2.61%,伴奏|《梧桐说》,58219
32,我喜欢你的信息素 第一季,101154767,1522588,D2,48,21,72082,44675,61.98%,2.93%,四千万福利,58217
33,吞海 第一季,52499397,538728,D2,54,17,45875,28916,63.03%,5.37%,原创配乐·破晓,29187
34,我在无限游戏里封神 第一季,75166269,1005520,D2,64,14,77833,43602,56.02%,4.34%,线下漫展VLOG,52347
35,降水概率百分百,2156932,30684,D2,45,18,3071,1803,58.71%,5.88%,完结彩蛋 ♡ 晴天娃娃,93005
36,全职高手广播剧第四季 上,16845,2719,D2,2,0,137,0,0.00%,0.00%,正式预告,96092
37,我在无限游戏里封神 第二季（下）,21425222,258601,D2,55,14,28374,24254,85.48%,9.38%,花絮06,76557
38,你的距离,91288875,940774,D2,70,27,78840,56569,71.75%,6.01%,完结FT·主创版,31552
39,将进酒 第一季,106884370,1449427,D2,59,16,78398,53359,68.06%,3.68%,完结FT,25944
40,我喜欢你的信息素 第二季,77031289,851864,D2,43,26,59045,49801,84.34%,5.85%,国风版·星衍,58218
41,一颗苹果,14097826,166908,C,82,35,13855,6148,44.37%,3.68%,完结FT · 谢谢光临,90818
42,娑婆,1990283,38869,D2,31,20,3843,1239,32.24%,3.19%,主题曲·观音火,93178
43,重生之将门毒后 第二季,42741358,387247,D2,83,26,50910,34314,67.40%,8.86%,破亿福利·白噪音·花灯,52293
44,清白之年,565746,15180,D2,23,3,1398,345,24.68%,2.27%,花絮02,94838
45,某某 第二季,66861809,835405,D2,67,39,68647,51374,74.84%,6.15%,破亿纪念·《正年少》,58220
46,吞海 第二季,33164088,276178,D2,56,19,26505,24706,93.21%,8.95%,新年祝福,67085
47,我在无限游戏里封神 第二季（上）,20939828,335566,D2,42,11,34481,29863,86.61%,8.90%,花絮06,71605
48,伪装学渣 第一季,103759425,1955313,D2,30,17,80086,47033,58.73%,2.41%,千万福利·“叫妈妈”,58262
49,难言之欲,273548,10999,D2,10,3,850,429,50.47%,3.90%,花絮·壹,94857
50,吞海 第三季（上）,22965297,221230,D2,38,16,18946,17763,93.76%,8.03%,OST·04 此地埋名,73221
