排名,剧名,播放量,订阅数,宣发策略,总集数,付费集数,最新更新,剧集ID
39,宋玉章 第一季,4946447,48654,D2,28,5,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28643287,249272,D2,65,14,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38960491,728161,B,31,0,主役听剧Reaction,46640
42,一颗苹果,14217773,168392,C,82,35,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22295244,380069,D2,37,11,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298229160,1549699,D2,66,56,传讯符·忘羡,22602
45,江医生 第一季,17451538,240300,D2,49,27,千万播放福利第四弹·小剧场·猫,81852
46,你的距离,91466096,941678,D2,70,27,完结FT·主创版,31552
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32376306,116280,B,95,0,许向安&许向宁生日小剧场·那片山那片海,84529
48,FOG[电竞] 第一季,71758380,770655,D2,39,14,2000W福利·whisper伴奏抒情版,29122
49,交易沦陷,30643844,180142,D2,138,99,特别福利·星空沦陷,54171
50,二哈和他的白猫师尊,17058773,108789,D2,669,603,完结FT,81979
51,虚拟偶像团综丨《一起再出发》,94030925,255803,B,179,0,中秋特辑·清道夫,58225
52,吞海 第一季,52703323,540116,D2,54,17,原创配乐·破晓,29187
53,夫人你马甲又掉了 第一季,65545609,1027978,B,25,0,小剧场3,32574
54,南方海啸,25724083,175775,D2,102,68,花絮⑤,85492
55,重生之将门毒后 第二季,42913628,388138,D2,83,26,破亿福利·白噪音·花灯,52293
56,囚于永夜,1721324,34806,D2,200,161,番外 少爷的生日7,94916
57,虚拟偶像团综丨《LASER出道日》,84371886,683873,B,89,0,专业小课堂：电子竞技运动与管理专业,28989
58,第二十八年春,10952843,385379,B,13,0,第四期,26751
59,判官 第一季,39083510,658522,D2,45,21,听剧reaction,37773
60,我在无限游戏里封神 第三季,24608247,222864,D2,91,21,破亿纪念单曲·神明所遗落的,81851
61,迪奥先生 第一季,79928347,1080471,D2,30,15,王氏破产 铃声,23329
62,魔道祖师 第二季,172043959,1424892,D2,41,37,主役FT（下）,19059
63,奇洛李维斯回信 番外篇,1277164,77676,D2,3,2,番外 ·  庆生宴,93420
64,坠落,11797101,186890,D2,59,22,番外二·新生,76041
65,酸梅,4306440,261214,B,4,0,第二期,51020
66,是心跳说谎 全一季,158367,7567,D2,9,1,第三集,95516
67,唇枪 上季,521107,24614,B,1,0,织音发布会纯享PV,94802
68,等风热吻你,16967810,316097,D2,56,18,插曲《约定》,52292
69,针锋对决,38372122,942257,B,19,0,完结FT  互动问答,19249
70,这题超纲了 第一季,21356967,502206,D2,44,17,【回放】《这题超纲了》M星直播,41369
71,恃宠 全一季,11698633,139951,D2,67,26,500w播放纪念· 谢砚礼 会议闲暇,76670
72,撒野 第一季,88708655,1846732,D2,36,8,千万播放纪念,58443
73,乘鸾 第一季,154589,5636,D2,14,3,第六集·火中取栗,94849
74,营业悖论 第一季,48543831,663500,D2,50,13,中秋特别语音,36817
75,落池,68816488,1353674,B,15,0,落池·番外,22032
76,告白 第一季,21673161,373963,D2,54,12,1000w福利·早安·周京泽,59041
77,结婚而已,3414012,46796,D2,49,24,☾ · 春节福利音,88370
78,于是麦麦决定离家出走,6217937,115188,D2,53,33,七夕小剧场✦小天使,86179
79,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29124815,131134,B,71,0,梦系列小剧场06·白日,78684
80,失忆后死对头成了我男朋友？,5664818,105843,D2,48,20,花絮15·恢复,86693
81,FOG[电竞]第二季,59217581,438405,D2,50,28,破亿特别直播回放,39588
82,我喜欢你的信息素 第二季,77164783,852831,D2,43,26,国风版·星衍,58218
83,微微一笑很倾城,16154577,341943,B,14,0,番外,1884
84,君有疾否 第一季,27467884,470153,D2,67,56,苏世誉 ✦ 第一季启动音,34592
85,提灯看刺刀 上季,15103229,245180,D2,32,8,花絮·韩楚,77771
86,将进酒 第二季,73293924,817000,D2,45,22,第二季完结FT,30383
87,封建糟粕,16340029,158082,D2,143,110,充电·李叔堂,87589
88,逐玉 第一季,4729513,75223,D2,43,14,原创配乐 · 凶夜,89245
89,别来无恙 第一季,23572024,460626,D2,48,22,1000W福利•《满心》（合唱版）,37937
90,虚拟偶像综艺丨《险象环声》,84905229,440254,B,138,0,三千万福利·偶像问答,38165
91,娑婆,2138649,39741,D2,33,22,第十九集,93178
92,秉性下等,26511797,210046,D2,99,35,两千万福利·时间的情书,64528
93,破云 第一季,59637539,1107528,D2,20,15,圣诞特辑,59047
94,台风眼 第二季,30197326,165536,D2,50,32,完结 FT,68664
95,我在无限游戏里封神 第二季（下）,21546151,259570,D2,55,14,花絮06,76557
96,偏偏宠爱,18014326,368555,D2,49,13,四百万语音·江忍,52353
97,你就当我死了吧  全一季,13377876,255353,B,30,0,主役版主题曲（纯享）,76841
98,骄阳似我 全一季,3947838,41668,D2,40,15,百万彩蛋 · 白噪音小剧场,90737
99,欢迎进入梦魇直播间 第一季,24286220,200190,D2,62,20,完结FT,75856
100,杀破狼 第一季,51247272,1019625,D2,16,11,第一季完结花絮,9888
