排名,剧名,播放量,订阅数,宣发策略,最新更新,剧集ID
31,藏南晚星,20488004,211231,D2,✧2000万福利·番外·美梦,85110
32,放学等我 第二季,32389626,456162,D2,番外·恋爱纪念日,68837
33,伏特加与曼特宁,2239052,67392,D2,第八期,92988
34,再世权臣 第一季,22562648,265250,D2,花絮07,71321
35,尾钩,1056790,24099,D2,第29集 · 阿姆斯特丹,95503
36,我在无限游戏里封神 第四季,8304890,147564,D2,特别放送 · emoji大挑战,86834
37,不想了,10032613,115944,D2,500W福利·主役版主题曲《同谋》,70445
38,天官赐福 第二季,75381507,367191,D2,三千万福利·小剧场·《鬼市生存法则：大伯公篇》,75026
39,宋玉章 第一季,4888343,48399,D2,第八折 ·  沉溺芳华,86589
40,洄天 第一季,28633338,249207,D2,完结语音 · 高能量S级监护人的一天,86815
41,娘娘腔,38948494,728037,B,主役听剧Reaction,46640
42,一颗苹果,14207815,168313,C,完结FT · 谢谢光临,90818
43,全球高考 第一季（全新版）,22286020,379993,D2,— 「全季完结FT」—,60289
44,魔道祖师 第三季,298209290,1549628,D2,传讯符·忘羡,22602
45,江医生 第一季,17440250,240204,D2,千万播放福利第四弹·小剧场·猫,81852
46,你的距离,91453829,941614,D2,完结FT·主创版,31552
47,虚拟偶像团综丨《NEW DAYS（一起又出发）》,32359548,116267,B,许向安&许向宁生日小剧场·那片山那片海,84529
48,FOG[电竞] 第一季,71745413,770593,D2,2000W福利·whisper伴奏抒情版,29122
49,二哈和他的白猫师尊,17044369,108744,D2,完结FT,81979
50,交易沦陷,30619544,180051,D2,特别福利·星空沦陷,54171
51,虚拟偶像团综丨《一起再出发》,94011832,255785,B,中秋特辑·清道夫,58225
52,吞海 第一季,52687536,540014,D2,原创配乐·破晓,29187
53,夫人你马甲又掉了 第一季,65536751,1027912,B,小剧场3,32574
54,南方海啸,25700504,175685,D2,花絮⑤,85492
55,重生之将门毒后 第二季,42901321,388082,D2,破亿福利·白噪音·花灯,52293
56,囚于永夜,1707913,34695,D2,番外 少爷的生日7,94916
57,虚拟偶像团综丨《LASER出道日》,84362445,683843,B,专业小课堂：电子竞技运动与管理专业,28989
58,判官 第一季,39074898,658482,D2,听剧reaction,37773
59,我在无限游戏里封神 第三季,24595118,222797,D2,破亿纪念单曲·神明所遗落的,81851
60,第二十八年春,10950343,385348,B,第四期,26751
61,迪奥先生 第一季,79922092,1080429,D2,王氏破产 铃声,23329
62,魔道祖师 第二季,172030458,1424831,D2,主役FT（下）,19059
63,是心跳说谎 全一季,155976,7514,D2,第三集,95516
64,奇洛李维斯回信 番外篇,1274212,77554,D2,番外 ·  庆生宴,93420
65,酸梅,4305024,261186,B,第二期,51020
66,坠落,11792004,186851,D2,番外二·新生,76041
67,唇枪 上季,513743,24516,B,织音发布会纯享PV,94802
68,针锋对决,38367497,942179,B,完结FT  互动问答,19249
69,乘鸾 第一季,152448,5606,D2,第六集·火中取栗,94849
70,等风热吻你,16963543,316053,D2,插曲《约定》,52292
71,这题超纲了 第一季,21351225,502129,D2,【回放】《这题超纲了》M星直播,41369
72,撒野 第一季,88704543,1846644,D2,千万播放纪念,58443
73,恃宠 全一季,11692352,139919,D2,500w播放纪念· 谢砚礼 会议闲暇,76670
74,于是麦麦决定离家出走,6213506,115158,D2,七夕小剧场✦小天使,86179
75,营业悖论 第一季,48537940,663458,D2,中秋特别语音,36817
76,虚拟偶像综艺 |《VANITY FAIR（名利场）》,29117060,131127,B,梦系列小剧场06·白日,78684
77,告白 第一季,21668427,373920,D2,1000w福利·早安·周京泽,59041
78,落池,68811632,1353616,B,落池·番外,22032
79,FOG[电竞]第二季,59205010,438378,D2,破亿特别直播回放,39588
80,结婚而已,3410401,46783,D2,☾ · 春节福利音,88370
81,失忆后死对头成了我男朋友？,5658969,105791,D2,花絮15·恢复,86693
82,我喜欢你的信息素 第二季,77154566,852759,D2,国风版·星衍,58218
83,君有疾否 第一季,27461431,470068,D2,苏世誉 ✦ 第一季启动音,34592
84,封建糟粕,16334560,158038,D2,充电·李叔堂,87589
85,提灯看刺刀 上季,15094376,245117,D2,花絮·韩楚,77771
86,将进酒 第二季,73282599,816963,D2,第二季完结FT,30383
87,微微一笑很倾城,16150784,341904,B,番外,1884
88,逐玉 第一季,4727209,75210,D2,原创配乐 · 凶夜,89245
89,别来无恙 第一季,23566912,460561,D2,1000W福利•《满心》（合唱版）,37937
90,虚拟偶像综艺丨《险象环声》,84894421,440239,B,三千万福利·偶像问答,38165
91,破云 第一季,59632309,1107450,D2,圣诞特辑,59047
92,秉性下等,26500570,210009,D2,两千万福利·时间的情书,64528
93,台风眼 第二季,30188655,165473,D2,完结 FT,68664
94,娑婆,2129415,39682,D2,第十九集,93178
95,我在无限游戏里封神 第二季（下）,21536763,259518,D2,花絮06,76557
96,偏偏宠爱,18008368,368518,D2,四百万语音·江忍,52353
97,欢迎进入梦魇直播间 第一季,24279613,200126,D2,完结FT,75856
98,你就当我死了吧  全一季,13371958,255277,B,主役版主题曲（纯享）,76841
99,骄阳似我 全一季,3942244,41618,D2,百万彩蛋 · 白噪音小剧场,90737
100,悬日 上季,12108991,157199,D2,ଫ苏洄生日福利,88192
